Elapsed - Replicas - Running - Unavailable
1 - 16 - 16 - 0
3 - 16 - 16 - 0
5 - 16 - 16 - 0
7 - 16 - 16 - 0
9 - 16 - 16 - 0
11 - 16 - 16 - 0
13 - 16 - 16 - 0
15 - 16 - 15 - 1
17 - 16 - 14 - 2
19 - 16 - 14 - 2
21 - 16 - 14 - 2
23 - 16 - 14 - 2
25 - 16 - 14 - 2
27 - 16 - 14 - 2
29 - 16 - 14 - 2
31 - 16 - 11 - 7
33 - 16 - 14 - 4
36 - 16 - 15 - 1
39 - 16 - 16 - 0
41 - 16 - 16 - 0
43 - 16 - 16 - 0
45 - 16 - 16 - 0
47 - 16 - 16 - 0
49 - 16 - 15 - 0
52 - 16 - 15 - 0
54 - 16 - 15 - 0
56 - 16 - 16 - 0
58 - 16 - 16 - 0
60 - 16 - 16 - 0
62 - 16 - 16 - 0
64 - 16 - 16 - 0
66 - 16 - 16 - 0
67 - 16 - 16 - 0
70 - 16 - 16 - 0
72 - 16 - 13 - 3
73 - 16 - 15 - 1
75 - 16 - 15 - 1
77 - 16 - 15 - 1
79 - 16 - 15 - 1
81 - 16 - 15 - 1
83 - 16 - 13 - 4
85 - 16 - 14 - 3
88 - 16 - 12 - 4
91 - 16 - 12 - 4
92 - 16 - 12 - 4
94 - 16 - 12 - 4
96 - 16 - 12 - 5
98 - 16 - 13 - 5
102 - 16 - 13 - 6
105 - 16 - 14 - 5
110 - 16 - 14 - 4
113 - 16 - 14 - 3
115 - 16 - 13 - 3
118 - 16 - 14 - 2
119 - 16 - 14 - 2
121 - 16 - 14 - 2
123 - 16 - 14 - 2
125 - 16 - 14 - 4
127 - 16 - 15 - 3
130 - 16 - 15 - 0
132 - 16 - 16 - 0
134 - 16 - 15 - 1
136 - 16 - 14 - 2
138 - 16 - 14 - 2
140 - 16 - 13 - 3
143 - 16 - 12 - 4
145 - 16 - 12 - 4
147 - 16 - 12 - 5
150 - 16 - 13 - 5
152 - 16 - 14 - 4
155 - 16 - 14 - 4
160 - 16 - 15 - 1
162 - 16 - 16 - 0
164 - 16 - 14 - 2
166 - 16 - 14 - 2
168 - 16 - 14 - 2
170 - 16 - 13 - 3
172 - 16 - 13 - 3
174 - 16 - 13 - 3
176 - 16 - 13 - 4
178 - 16 - 13 - 5
180 - 16 - 14 - 4
183 - 16 - 15 - 3
185 - 16 - 16 - 1
189 - 16 - 16 - 0
191 - 16 - 13 - 3
194 - 16 - 16 - 0
196 - 16 - 16 - 0
198 - 16 - 16 - 0
200 - 16 - 16 - 0
202 - 16 - 16 - 0
204 - 16 - 16 - 0
206 - 16 - 16 - 0
208 - 16 - 16 - 0
209 - 16 - 16 - 0
211 - 16 - 16 - 0
214 - 16 - 16 - 0
217 - 16 - 15 - 1
218 - 16 - 15 - 1
220 - 16 - 15 - 1
222 - 16 - 15 - 1
224 - 16 - 15 - 1
226 - 16 - 15 - 1
228 - 16 - 15 - 2
230 - 16 - 15 - 2
233 - 16 - 16 - 0
235 - 16 - 16 - 0
237 - 16 - 15 - 1
239 - 16 - 15 - 1
241 - 16 - 15 - 1
243 - 16 - 15 - 1
245 - 16 - 15 - 1
247 - 16 - 15 - 1
249 - 16 - 15 - 2
251 - 16 - 15 - 2
253 - 16 - 16 - 0
255 - 16 - 16 - 0
257 - 16 - 16 - 0
259 - 16 - 16 - 1
262 - 16 - 16 - 0
264 - 16 - 16 - 0
266 - 16 - 16 - 0
268 - 16 - 16 - 0
270 - 16 - 16 - 0
272 - 16 - 16 - 0
274 - 16 - 16 - 0
276 - 16 - 16 - 0
278 - 16 - 16 - 0
280 - 16 - 16 - 0
282 - 16 - 16 - 0
284 - 16 - 15 - 1
286 - 16 - 15 - 2
288 - 16 - 15 - 0
290 - 16 - 16 - 0
292 - 16 - 16 - 0
294 - 16 - 16 - 0
296 - 16 - 16 - 0
298 - 16 - 16 - 0
300 - 16 - 16 - 0
302 - 16 - 16 - 0
304 - 16 - 16 - 0
306 - 16 - 15 - 2
308 - 16 - 15 - 1
310 - 16 - 15 - 1
312 - 16 - 14 - 1
314 - 16 - 15 - 1
316 - 16 - 15 - 1
318 - 16 - 15 - 3
321 - 16 - 15 - 2
324 - 16 - 15 - 1
326 - 16 - 16 - 0
328 - 16 - 16 - 0
330 - 16 - 16 - 0
332 - 16 - 16 - 0
334 - 16 - 16 - 0
336 - 16 - 16 - 0
338 - 16 - 16 - 0
340 - 16 - 13 - 3
342 - 16 - 13 - 3
344 - 16 - 13 - 3
346 - 16 - 13 - 3
348 - 16 - 13 - 3
350 - 16 - 12 - 6
352 - 16 - 14 - 4
356 - 16 - 15 - 4
359 - 16 - 15 - 2
362 - 16 - 16 - 0
363 - 16 - 16 - 0
365 - 16 - 16 - 0
367 - 16 - 16 - 0
369 - 16 - 16 - 0
371 - 16 - 16 - 0
373 - 16 - 15 - 1
375 - 16 - 15 - 1
377 - 16 - 16 - 0
379 - 16 - 15 - 1
381 - 16 - 15 - 1
383 - 16 - 15 - 1
385 - 16 - 15 - 1
