Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
3 - 1 - 1 - 0
5 - 1 - 1 - 0
7 - 1 - 1 - 0
11 - 1 - 1 - 1
13 - 3 - 1 - 2
17 - 3 - 1 - 1
27 - 3 - 3 - 0
36 - 3 - 2 - 3
38 - 3 - 3 - 0
40 - 3 - 3 - 0
42 - 3 - 3 - 0
44 - 3 - 0 - 3
46 - 3 - 0 - 3
48 - 3 - 0 - 3
50 - 3 - 0 - 3
52 - 3 - 0 - 3
54 - 3 - 0 - 4
57 - 3 - 0 - 5
60 - 3 - 1 - 4
64 - 3 - 2 - 2
68 - 3 - 3 - 0
70 - 3 - 3 - 0
72 - 3 - 2 - 1
75 - 3 - 2 - 1
77 - 3 - 2 - 1
79 - 3 - 0 - 3
81 - 3 - 0 - 3
83 - 3 - 0 - 3
85 - 3 - 0 - 4
87 - 3 - 1 - 3
89 - 3 - 1 - 3
91 - 3 - 1 - 4
96 - 3 - 2 - 3
98 - 3 - 2 - 3
100 - 3 - 3 - 2
103 - 3 - 3 - 0
105 - 3 - 3 - 0
108 - 3 - 1 - 1
110 - 3 - 2 - 1
112 - 3 - 2 - 1
114 - 3 - 2 - 2
117 - 3 - 0 - 3
119 - 3 - 0 - 3
121 - 3 - 0 - 4
123 - 3 - 0 - 3
125 - 3 - 1 - 3
127 - 3 - 1 - 3
129 - 3 - 1 - 4
132 - 3 - 2 - 2
135 - 3 - 3 - 2
137 - 3 - 3 - 1
139 - 3 - 3 - 0
141 - 3 - 3 - 0
143 - 3 - 0 - 1
146 - 3 - 2 - 1
148 - 3 - 2 - 1
150 - 3 - 2 - 3
152 - 3 - 0 - 3
154 - 3 - 0 - 3
156 - 4 - 0 - 4
158 - 4 - 1 - 4
160 - 4 - 2 - 3
162 - 4 - 2 - 4
165 - 4 - 0 - 5
168 - 4 - 4 - 2
170 - 4 - 4 - 2
172 - 4 - 3 - 2
174 - 4 - 2 - 2
176 - 4 - 2 - 2
178 - 4 - 2 - 2
180 - 4 - 2 - 2
182 - 4 - 0 - 4
184 - 4 - 0 - 6
187 - 4 - 1 - 5
189 - 4 - 2 - 4
191 - 4 - 2 - 4
193 - 4 - 2 - 2
195 - 4 - 2 - 2
197 - 4 - 1 - 5
200 - 4 - 2 - 4
203 - 4 - 2 - 3
205 - 4 - 2 - 2
207 - 4 - 2 - 2
209 - 4 - 1 - 3
211 - 4 - 2 - 2
213 - 4 - 2 - 3
215 - 4 - 2 - 3
218 - 4 - 1 - 4
220 - 4 - 2 - 3
222 - 4 - 1 - 4
224 - 4 - 2 - 2
226 - 4 - 2 - 2
228 - 4 - 2 - 3
231 - 4 - 2 - 4
233 - 4 - 2 - 4
235 - 4 - 2 - 4
237 - 4 - 1 - 4
240 - 4 - 2 - 2
242 - 4 - 2 - 2
244 - 4 - 2 - 2
246 - 4 - 1 - 4
249 - 4 - 3 - 3
251 - 4 - 2 - 3
254 - 4 - 2 - 2
256 - 4 - 2 - 3
258 - 4 - 0 - 4
260 - 4 - 0 - 5
262 - 4 - 1 - 4
264 - 4 - 1 - 4
266 - 4 - 2 - 3
269 - 4 - 2 - 2
271 - 4 - 2 - 2
273 - 4 - 2 - 5
276 - 4 - 1 - 3
278 - 4 - 3 - 3
280 - 4 - 3 - 3
283 - 4 - 2 - 4
285 - 4 - 2 - 2
287 - 4 - 2 - 2
289 - 4 - 2 - 3
291 - 4 - 0 - 4
293 - 4 - 1 - 3
295 - 4 - 1 - 3
298 - 4 - 1 - 4
300 - 4 - 2 - 3
302 - 4 - 2 - 3
304 - 4 - 1 - 5
307 - 4 - 2 - 4
309 - 4 - 3 - 3
311 - 4 - 3 - 2
313 - 4 - 3 - 1
315 - 4 - 3 - 1
317 - 4 - 2 - 3
319 - 4 - 2 - 3
322 - 4 - 3 - 1
324 - 4 - 3 - 1
326 - 4 - 1 - 3
328 - 4 - 1 - 3
330 - 4 - 1 - 4
332 - 4 - 1 - 4
334 - 4 - 1 - 3
336 - 4 - 1 - 3
338 - 4 - 1 - 4
340 - 4 - 2 - 4
343 - 4 - 3 - 3
346 - 4 - 3 - 3
348 - 4 - 2 - 3
350 - 4 - 3 - 2
352 - 4 - 3 - 2
354 - 4 - 2 - 3
357 - 4 - 2 - 2
359 - 4 - 2 - 3
361 - 4 - 1 - 4
363 - 4 - 1 - 4
365 - 4 - 1 - 4
367 - 4 - 1 - 4
369 - 4 - 1 - 4
372 - 4 - 2 - 4
374 - 4 - 3 - 3
376 - 4 - 3 - 2
378 - 4 - 2 - 3
380 - 4 - 3 - 1
383 - 4 - 2 - 2
385 - 4 - 3 - 1
387 - 4 - 3 - 1
389 - 4 - 0 - 5
392 - 4 - 2 - 3
394 - 4 - 2 - 3
396 - 4 - 2 - 3
398 - 4 - 0 - 3
400 - 4 - 1 - 3
402 - 4 - 1 - 4
405 - 4 - 2 - 5
Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
3 - 1 - 1 - 0
5 - 1 - 1 - 0
7 - 1 - 1 - 0
9 - 1 - 0 - 1
12 - 1 - 1 - 0
14 - 1 - 1 - 0
16 - 1 - 1 - 0
19 - 1 - 0 - 1
21 - 1 - 0 - 1
22 - 1 - 0 - 1
25 - 1 - 0 - 1
27 - 1 - 0 - 1
29 - 1 - 0 - 2
31 - 2 - 1 - 1
33 - 2 - 1 - 1
35 - 2 - 1 - 2
37 - 2 - 2 - 1
40 - 2 - 2 - 0
42 - 2 - 2 - 0
44 - 2 - 2 - 0
46 - 2 - 1 - 1
48 - 2 - 1 - 1
50 - 2 - 0 - 2
52 - 2 - 0 - 2
54 - 2 - 0 - 2
56 - 2 - 0 - 2
58 - 2 - 0 - 2
60 - 2 - 0 - 3
62 - 2 - 1 - 1
64 - 2 - 1 - 2
66 - 2 - 1 - 2
70 - 2 - 2 - 0
72 - 2 - 2 - 0
74 - 2 - 1 - 1
76 - 2 - 1 - 1
78 - 2 - 1 - 1
80 - 2 - 1 - 1
82 - 2 - 0 - 2
84 - 2 - 0 - 2
86 - 2 - 0 - 2
88 - 2 - 0 - 2
90 - 2 - 0 - 3
91 - 2 - 0 - 3
93 - 2 - 1 - 2
96 - 2 - 2 - 1
98 - 2 - 2 - 0
100 - 2 - 2 - 0
102 - 2 - 0 - 0
105 - 2 - 2 - 0
107 - 2 - 2 - 0
108 - 2 - 2 - 0
111 - 2 - 0 - 2
113 - 2 - 0 - 2
115 - 2 - 0 - 2
117 - 2 - 0 - 2
119 - 2 - 0 - 2
121 - 2 - 0 - 2
123 - 2 - 0 - 3
125 - 2 - 0 - 2
127 - 2 - 1 - 3
129 - 2 - 2 - 2
131 - 2 - 1 - 2
134 - 2 - 2 - 1
136 - 3 - 2 - 1
138 - 3 - 3 - 0
142 - 3 - 1 - 2
143 - 3 - 0 - 3
146 - 3 - 1 - 2
147 - 3 - 1 - 2
149 - 3 - 1 - 2
152 - 3 - 0 - 3
153 - 3 - 0 - 3
155 - 3 - 0 - 5
158 - 3 - 1 - 4
161 - 3 - 2 - 2
164 - 3 - 2 - 1
166 - 3 - 2 - 2
168 - 3 - 1 - 3
170 - 3 - 1 - 3
172 - 3 - 1 - 3
174 - 3 - 1 - 2
176 - 3 - 1 - 2
178 - 3 - 1 - 2
180 - 3 - 1 - 2
182 - 3 - 1 - 3
184 - 3 - 1 - 3
186 - 3 - 1 - 4
189 - 3 - 2 - 3
191 - 3 - 2 - 1
193 - 3 - 2 - 1
196 - 3 - 2 - 1
198 - 3 - 2 - 2
200 - 3 - 3 - 1
202 - 3 - 1 - 2
204 - 3 - 1 - 2
206 - 3 - 1 - 2
208 - 3 - 0 - 2
211 - 3 - 1 - 2
213 - 3 - 1 - 2
215 - 3 - 1 - 2
217 - 3 - 0 - 5
219 - 3 - 2 - 3
221 - 3 - 2 - 3
223 - 3 - 2 - 3
226 - 3 - 0 - 1
228 - 4 - 2 - 3
230 - 4 - 4 - 1
232 - 4 - 4 - 2
235 - 4 - 2 - 3
237 - 4 - 1 - 2
239 - 4 - 2 - 2
241 - 4 - 2 - 2
243 - 4 - 2 - 4
245 - 4 - 0 - 5
248 - 4 - 1 - 5
250 - 4 - 2 - 4
254 - 4 - 2 - 2
256 - 4 - 2 - 4
258 - 4 - 3 - 3
261 - 4 - 3 - 2
264 - 4 - 3 - 1
266 - 4 - 2 - 1
269 - 4 - 2 - 2
271 - 4 - 2 - 2
273 - 4 - 2 - 2
275 - 4 - 0 - 5
277 - 4 - 1 - 4
279 - 4 - 1 - 4
281 - 4 - 1 - 5
284 - 4 - 1 - 4
286 - 4 - 2 - 5
290 - 4 - 1 - 5
294 - 4 - 2 - 2
296 - 4 - 2 - 1
298 - 4 - 3 - 1
300 - 4 - 3 - 2
302 - 4 - 3 - 1
304 - 4 - 3 - 2
308 - 4 - 2 - 2
310 - 4 - 1 - 4
312 - 4 - 1 - 3
314 - 4 - 1 - 3
316 - 4 - 1 - 3
318 - 4 - 1 - 3
320 - 4 - 1 - 4
322 - 4 - 1 - 5
324 - 4 - 1 - 6
327 - 4 - 3 - 4
329 - 4 - 3 - 2
331 - 4 - 3 - 1
333 - 4 - 3 - 3
