Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
3 - 1 - 1 - 0
5 - 1 - 1 - 0
7 - 1 - 1 - 0
9 - 1 - 1 - 0
11 - 1 - 1 - 0
13 - 1 - 1 - 0
15 - 1 - 1 - 0
17 - 1 - 1 - 0
19 - 1 - 1 - 0
21 - 1 - 0 - 1
23 - 1 - 0 - 1
25 - 1 - 0 - 1
27 - 1 - 0 - 1
30 - 1 - 0 - 1
33 - 1 - 0 - 1
35 - 1 - 0 - 1
37 - 1 - 0 - 2
39 - 1 - 1 - 0
41 - 1 - 1 - 0
43 - 1 - 1 - 0
45 - 1 - 1 - 0
47 - 1 - 1 - 0
49 - 1 - 1 - 0
51 - 1 - 1 - 0
53 - 1 - 1 - 0
55 - 1 - 1 - 0
57 - 1 - 1 - 0
59 - 1 - 1 - 1
61 - 1 - 0 - 1
63 - 1 - 0 - 1
65 - 1 - 0 - 1
67 - 1 - 0 - 1
69 - 1 - 0 - 1
71 - 1 - 0 - 2
73 - 1 - 0 - 2
76 - 1 - 1 - 0
78 - 1 - 1 - 0
79 - 1 - 1 - 0
81 - 1 - 1 - 0
83 - 1 - 1 - 0
86 - 1 - 1 - 0
88 - 1 - 1 - 0
90 - 1 - 1 - 0
91 - 1 - 1 - 0
93 - 1 - 1 - 0
96 - 1 - 0 - 1
98 - 1 - 0 - 1
100 - 1 - 0 - 1
102 - 1 - 0 - 1
104 - 1 - 0 - 1
106 - 1 - 0 - 1
108 - 1 - 0 - 1
110 - 1 - 0 - 2
112 - 1 - 1 - 0
114 - 1 - 1 - 0
116 - 1 - 1 - 0
118 - 1 - 1 - 0
120 - 1 - 1 - 0
123 - 1 - 0 - 0
125 - 1 - 1 - 0
127 - 1 - 1 - 0
128 - 1 - 1 - 0
131 - 1 - 1 - 0
133 - 1 - 1 - 1
135 - 1 - 0 - 1
137 - 1 - 0 - 1
139 - 1 - 0 - 1
141 - 1 - 0 - 1
143 - 1 - 0 - 1
145 - 1 - 0 - 1
147 - 1 - 0 - 2
149 - 1 - 1 - 0
151 - 1 - 1 - 0
153 - 1 - 1 - 0
155 - 1 - 1 - 0
157 - 1 - 0 - 1
159 - 1 - 1 - 0
161 - 1 - 1 - 0
163 - 1 - 1 - 0
165 - 1 - 1 - 0
167 - 1 - 1 - 0
169 - 1 - 0 - 1
171 - 1 - 0 - 1
173 - 1 - 0 - 1
175 - 1 - 0 - 1
177 - 1 - 0 - 1
179 - 1 - 0 - 1
181 - 1 - 0 - 1
183 - 1 - 0 - 2
185 - 1 - 1 - 0
188 - 1 - 1 - 0
190 - 1 - 1 - 0
191 - 1 - 1 - 0
193 - 1 - 1 - 0
196 - 1 - 1 - 0
198 - 1 - 1 - 0
200 - 1 - 1 - 0
202 - 1 - 1 - 0
204 - 1 - 1 - 0
206 - 1 - 0 - 1
208 - 1 - 0 - 1
210 - 1 - 0 - 1
212 - 1 - 0 - 1
214 - 1 - 0 - 1
216 - 1 - 0 - 1
218 - 1 - 0 - 2
220 - 1 - 1 - 1
223 - 1 - 1 - 0
225 - 1 - 1 - 0
227 - 1 - 1 - 0
229 - 1 - 1 - 0
231 - 1 - 1 - 1
233 - 1 - 1 - 0
234 - 1 - 1 - 0
236 - 1 - 1 - 0
238 - 1 - 1 - 0
240 - 1 - 1 - 1
243 - 1 - 0 - 1
244 - 1 - 0 - 1
246 - 1 - 0 - 1
248 - 1 - 0 - 1
250 - 1 - 0 - 1
252 - 1 - 0 - 1
254 - 1 - 0 - 1
256 - 1 - 0 - 2
258 - 1 - 0 - 1
260 - 1 - 1 - 0
262 - 1 - 1 - 0
264 - 1 - 1 - 0
266 - 1 - 1 - 0
268 - 1 - 1 - 1
271 - 1 - 1 - 0
273 - 1 - 1 - 0
275 - 1 - 1 - 0
276 - 1 - 1 - 0
279 - 1 - 1 - 0
281 - 1 - 0 - 1
283 - 1 - 0 - 1
285 - 1 - 0 - 1
287 - 1 - 0 - 1
289 - 1 - 0 - 1
291 - 1 - 0 - 1
293 - 1 - 0 - 2
295 - 1 - 1 - 0
297 - 1 - 1 - 0
299 - 1 - 1 - 0
301 - 1 - 1 - 0
303 - 1 - 1 - 0
305 - 1 - 1 - 0
307 - 1 - 1 - 0
309 - 1 - 1 - 0
312 - 1 - 1 - 0
314 - 1 - 1 - 0
316 - 1 - 0 - 1
318 - 1 - 0 - 1
320 - 1 - 0 - 1
322 - 1 - 0 - 1
324 - 1 - 0 - 1
325 - 1 - 0 - 1
327 - 1 - 0 - 1
329 - 1 - 0 - 2
332 - 1 - 1 - 0
334 - 1 - 1 - 0
336 - 1 - 1 - 0
338 - 1 - 1 - 0
340 - 1 - 1 - 0
342 - 1 - 0 - 1
344 - 1 - 1 - 0
346 - 1 - 1 - 0
348 - 1 - 1 - 0
350 - 1 - 1 - 0
352 - 1 - 1 - 0
354 - 1 - 0 - 1
356 - 1 - 0 - 1
358 - 1 - 0 - 1
360 - 1 - 0 - 1
362 - 1 - 0 - 1
364 - 1 - 0 - 1
366 - 1 - 0 - 2
369 - 1 - 1 - 1
371 - 1 - 1 - 0
373 - 1 - 1 - 0
375 - 1 - 1 - 0
377 - 1 - 1 - 0
379 - 1 - 0 - 1
381 - 1 - 1 - 0
383 - 1 - 1 - 0
385 - 1 - 1 - 0
387 - 1 - 1 - 0
389 - 1 - 0 - 1
391 - 1 - 0 - 1
393 - 1 - 0 - 1
395 - 1 - 0 - 1
397 - 1 - 0 - 1
399 - 1 - 0 - 1
401 - 1 - 0 - 1
403 - 1 - 0 - 1
405 - 1 - 0 - 2
408 - 1 - 1 - 0
410 - 1 - 1 - 0
412 - 1 - 1 - 0
414 - 1 - 1 - 0
416 - 1 - 1 - 0
418 - 1 - 1 - 0
420 - 1 - 1 - 0
422 - 1 - 1 - 0
424 - 1 - 1 - 0
426 - 1 - 1 - 0
428 - 1 - 0 - 1
430 - 1 - 0 - 1
432 - 1 - 0 - 1
435 - 1 - 0 - 1
437 - 1 - 0 - 1
438 - 1 - 0 - 1
440 - 1 - 0 - 2
443 - 1 - 1 - 1
445 - 1 - 1 - 0
447 - 1 - 1 - 0
449 - 1 - 1 - 0
451 - 1 - 1 - 0
453 - 1 - 0 - 0
455 - 1 - 1 - 0
457 - 1 - 1 - 0
459 - 1 - 1 - 0
461 - 1 - 1 - 0
463 - 1 - 0 - 1
465 - 1 - 0 - 1
467 - 1 - 0 - 1
469 - 1 - 0 - 1
471 - 1 - 0 - 1
473 - 1 - 0 - 1
475 - 1 - 0 - 1
477 - 1 - 0 - 1
479 - 1 - 0 - 2
481 - 1 - 1 - 0
483 - 1 - 1 - 0
485 - 1 - 1 - 0
487 - 1 - 1 - 0
489 - 1 - 1 - 0
491 - 1 - 1 - 0
493 - 1 - 1 - 0
495 - 1 - 1 - 0
497 - 1 - 1 - 0
499 - 1 - 1 - 0
501 - 1 - 0 - 1
503 - 1 - 0 - 1
505 - 1 - 0 - 1
507 - 1 - 0 - 1
509 - 1 - 0 - 1
511 - 1 - 0 - 1
513 - 1 - 0 - 1
515 - 1 - 0 - 2
517 - 1 - 1 - 0
519 - 1 - 1 - 0
521 - 1 - 1 - 0
523 - 1 - 1 - 0
525 - 1 - 1 - 0
527 - 1 - 1 - 0
529 - 1 - 1 - 0
531 - 1 - 1 - 0
534 - 1 - 1 - 0
536 - 1 - 1 - 0
538 - 1 - 0 - 1
540 - 1 - 0 - 1
542 - 1 - 0 - 1
544 - 1 - 0 - 1
546 - 1 - 0 - 1
548 - 1 - 0 - 1
550 - 1 - 0 - 2
552 - 1 - 0 - 0
554 - 1 - 1 - 0
556 - 1 - 1 - 0
558 - 1 - 1 - 0
560 - 1 - 1 - 0
562 - 1 - 1 - 1
564 - 1 - 1 - 0
566 - 1 - 1 - 0
568 - 1 - 1 - 0
570 - 1 - 1 - 0
572 - 1 - 1 - 0
574 - 1 - 0 - 1
576 - 1 - 0 - 1
578 - 1 - 0 - 1
580 - 1 - 0 - 1
582 - 1 - 0 - 1
584 - 1 - 0 - 1
586 - 1 - 0 - 1
588 - 1 - 0 - 1
590 - 1 - 1 - 0
592 - 1 - 1 - 0
594 - 1 - 1 - 0
596 - 1 - 1 - 0
598 - 1 - 0 - 0
600 - 1 - 1 - 0
602 - 1 - 1 - 0
604 - 1 - 1 - 0
606 - 1 - 1 - 0
608 - 1 - 0 - 1
610 - 1 - 0 - 1
612 - 1 - 0 - 1
614 - 1 - 0 - 1
616 - 1 - 0 - 1
618 - 1 - 0 - 1
621 - 1 - 0 - 1
622 - 1 - 0 - 2
625 - 1 - 1 - 1
631 - 1 - 1 - 0
633 - 1 - 1 - 0
635 - 1 - 1 - 0
637 - 1 - 1 - 0
640 - 1 - 1 - 0
642 - 1 - 1 - 0
644 - 1 - 1 - 0
646 - 1 - 0 - 1
651 - 1 - 0 - 1
653 - 1 - 0 - 1
655 - 1 - 0 - 1
657 - 1 - 0 - 1
659 - 1 - 0 - 2
662 - 1 - 1 - 0
664 - 1 - 1 - 0
666 - 1 - 1 - 0
667 - 1 - 1 - 0
669 - 1 - 1 - 0
672 - 1 - 1 - 0
674 - 1 - 1 - 0
