Strategy,MinProcessingTime,MaxProcessingTime,AvgProcessingTime,MinStartUpTime,MaxStartUpTime,AvgStartUpTime,MinNextResponseTime,MaxNextResponseTime,AvgNextResponseTime,MinBatchProcessingTime,MaxBatchProcessingTime,AvgBatchProcessingTime,MinBatchSize,MaxBatchSize,AvgBatchSize,minSequenceLength,maxSequenceLength,AvgSequenceLength,MinWaitTime,MaxWaitTime,AvgWaitTime,TotalSentQueries,TotalBatches,TotalExecutionTime
fixed_p1_d0%0,314358,2291518,627698,80789615,222444360,100692370,118945998,25736801022,9955419685,214685,51391876887,19259850332,1,4,1,1,6,3,0,0,0,118,61,1175189804080
fixed_p1_d0%0,343711,2614014,614479,83014540,155855542,99421714,84744929,22924250634,10047593120,377325,53022659009,19438013749,1,4,1,1,6,3,0,0,0,118,61,1186006339599
fixed_p1_d0%0,361493,2289042,609791,81820273,255245616,104861789,66181732,24529882890,10151601673,329697,57796682698,19639229162,1,4,1,1,6,3,0,0,0,118,61,1198314020016
fixed_p1_d100%150,105285011,804053611,449552430,85315566,183995683,100459717,205539410,23759741777,9838852033,471138,52055723480,19034106304,1,4,1,1,6,3,103,803,448,118,61,1161352801597
fixed_p1_d100%150,111106422,813010466,451732067,81869583,147853129,99956298,199699512,30476605526,10394731997,530038,61193364356,20109895173,1,4,1,1,6,3,110,812,450,118,61,1226993921127
fixed_p1_d100%150,114002341,793090397,450480147,80454688,10120593234,393106416,119566953,28329094680,10378247662,421401,54883904801,20078377416,1,4,1,1,6,3,113,792,449,118,61,1225093794501
fixed_p1_d3000%5000,3866200435,27574785779,14442103330,87550985,175122845,103847981,855831583,51079358548,29182947459,492632,144346297399,56453643211,1,4,1,1,6,3,3865,27573,14440,118,61,3444022420767
fixed_p1_d3000%5000,3475059311,26534291805,14430538485,86952921,186289831,106025787,1863943828,52273522597,28777803730,509246,140432232488,55670242645,1,4,1,1,6,3,3474,26533,14429,118,61,3396227979547
fixed_p1_d500%1000,917689156,4925448809,2680322180,87694659,158379421,107674898,17201345,26707917167,11304964258,513864,61107164397,21870297901,1,4,1,1,6,3,914,4924,2679,118,61,1334413733264
fixed_p1_d500%1000,648325373,5216215587,2734242367,87646437,214976242,111972992,87842928,28564046251,11655403332,477172,61823954621,22548060792,1,4,1,1,6,3,647,5214,2732,118,61,1375747156925
fixed_p1_d5000%10000,5120183022,51398226722,26966431097,85917059,160218571,105194578,3319179122,1829894495399,56396425336,494623,1950212899466,109096140706,1,4,1,1,6,3,5119,51396,26965,118,61,6655205257601
fixed_p1_d5000%10000,8355893710,50557123029,26875361459,90590270,151602670,106885037,8439920637,1834591911305,56432944713,465839,1927561415364,109166875315,1,4,1,1,6,3,8355,50556,26873,118,61,6659534369960
fixed_p16_d0%0,340372,1854978,627244,84516745,332655320,119480905,1456511,14879643706,1460626736,470663,20648335788,2827044138,1,4,1,1,6,3,0,0,0,118,61,172797740245
fixed_p16_d0%0,292160,1755375,599340,83011749,251251098,112057454,865623,9541364737,1393449130,308379,14768403605,2696665083,1,4,1,1,6,3,0,0,0,118,61,164802740579
fixed_p16_d0%0,302603,1439745,581419,87106774,257206283,116961194,869817,10283345026,1173321553,464972,16059784066,2280040784,1,4,1,1,6,3,0,0,0,118,61,139372196140
fixed_p16_d0%0,329410,6955923,793636,83024535,315651993,123218145,1005511,23145546596,1522311701,336316,28609063364,2946578064,1,4,1,1,6,3,0,0,0,118,61,180066345746
fixed_p16_d100%150,110038992,809646203,452373674,84603095,324907545,113609862,1253996,9166454311,1221735763,430371,14962323493,2364980350,1,4,1,1,6,3,109,809,451,118,61,144618730307
fixed_p16_d100%150,109976933,826026473,448228875,87145273,404907397,124207616,1087784,16115949493,1349835236,493041,21549150062,2612966509,1,4,1,1,6,3,109,825,447,118,61,159765937772
fixed_p16_d100%150,115979765,826358734,451681746,82452265,394194500,125013951,1263549,10245859732,1312635762,507429,15187057465,2541814835,1,4,1,1,6,3,115,825,450,118,61,155398730989
fixed_p16_d3000%5000,3059186615,24194276293,14267289332,88639964,321886051,116148625,53960823,24205300292,6654247487,288539,24207081261,12874120555,1,4,1,1,6,3,3058,24193,14265,118,61,785691128924
fixed_p16_d3000%5000,3080423600,25333153857,14550019238,90926921,287475813,116663584,19992144,24306366419,6747283786,379112,25347549777,13054185064,1,4,1,1,6,3,3079,25332,14548,118,61,796628691860
fixed_p16_d3000%5000,3188196410,26051072146,14523358298,86588155,1132930734,130570375,3638135,26057321702,6759741813,391575,26064056700,13078287317,1,4,1,1,6,3,3187,26050,14521,118,61,798101238716
fixed_p16_d500%1000,650212988,5198019555,2736056895,87387376,341344100,126131211,2021179,19548470038,2068463200,506374,27833043687,4003417711,1,4,1,1,6,3,649,5197,2734,118,61,244673446686
fixed_p16_d500%1000,629103053,4701023732,2636265057,87826616,345790706,123142449,13088978,10658703834,1669016955,381063,17984392166,3230454318,1,4,1,1,6,3,628,4700,2634,118,61,197535473723
fixed_p16_d5000%10000,5698335239,47810803260,26854126501,84928985,195522272,108245999,4299385,46795987121,12557594443,358571,47821494823,24293143411,1,4,1,1,6,3,5697,47810,26852,118,61,1482186339578
fixed_p16_d5000%10000,6176087771,50966028066,27011581402,77666976,343734670,106800432,26173452,49189479208,12519541746,340371,50975609622,24219711109,1,4,1,1,6,3,6175,50965,27010,118,61,1477705879783
fixed_p16_d5000%10000,6738637484,51934115601,27129408587,84306792,234817819,110179136,10247099,45454501049,12642556514,509278,51943828776,24457773657,1,4,1,1,6,3,6737,51933,27127,118,61,1492250855313
fixed_p16_d5000%10000,5745188336,52260163045,27157850428,88772341,319809174,113503147,25382100,52270527261,12736161512,479404,52271498844,24638956002,1,4,1,1,6,3,5744,52259,27156,118,61,1503300474588
fixed_p2_d0%0,331479,1792623,639524,80982963,179383491,99875419,3877326,16864783277,5230434592,364197,27855708241,10119229753,1,4,1,1,6,3,0,0,0,118,61,617657794368
fixed_p2_d0%0,339572,3103821,694049,82204434,165486127,104651054,21118120,19373304726,5024125816,385867,26051593619,9720113466,1,4,1,1,6,3,0,0,0,118,61,593230611949
fixed_p2_d0%0,365149,1851553,678132,86918127,155030813,106938882,2418436,19334509883,5122844763,354445,29949406617,9911287131,1,4,1,1,6,3,0,0,0,118,61,604878054372
fixed_p2_d0%0,340100,9307499,746234,86226608,155959363,107419414,1527762,22073429340,5140252610,399008,27041820071,9945211247,1,4,1,1,6,3,0,0,0,118,61,606939489723
fixed_p2_d100%150,104419027,774236551,449880666,79775931,598615923,106706698,15597115,19147330187,5088717470,391460,28369466667,9845123936,1,4,1,1,6,3,103,773,448,118,61,600843236690
fixed_p2_d100%150,108805205,771089848,451601134,80393116,166876067,96779233,23387122,21178578637,5332520743,420671,29205103761,10316658480,1,4,1,1,6,3,108,770,450,118,61,629615710169
fixed_p2_d100%150,105164279,809545996,449698010,82586398,227525378,103107147,15371006,19186279365,5302677204,461650,28917775764,10259227875,1,4,1,1,6,3,104,808,448,118,61,626113239736
fixed_p2_d3000%5000,3307848786,26129268063,14120488884,87406003,178846422,105279794,6160493,42279260357,15171962922,260936,92975289860,29350690225,1,4,1,1,6,3,3307,26128,14119,118,61,1790715547246
fixed_p2_d500%1000,618142637,5172989749,2699385453,85173980,173376900,107495799,1476421,23171542010,6273057087,579635,35014456231,12136335713,1,4,1,1,6,3,617,5172,2698,118,61,740659706655
fixed_p2_d500%1000,544467322,4857067806,2707025287,89345999,184852823,109451751,73304962,21338150256,6250757561,443906,32398456894,12093132872,1,4,1,1,6,3,543,4856,2705,118,61,737997048882
fixed_p2_d5000%10000,5133535436,50542890661,26454502875,83514377,172703643,105625631,187530480,51627259840,22607657883,430735,131289975224,43734357485,1,4,1,1,6,3,5132,50542,26453,118,61,2668215974152
fixed_p2_d5000%10000,7054383349,50592059050,26878466507,88469720,193506146,107950840,221839458,51587422984,22652182148,672996,110701200847,43820919075,1,4,1,1,6,3,7053,50591,26877,118,61,2673413053272
fixed_p32_d0%0,292103,7787148,803323,86971410,577550602,138267370,895840,18588890200,791640295,437420,23623222700,1533793872,1,4,1,1,6,3,0,0,0,118,61,93858950568
fixed_p32_d0%0,328949,6489634,735397,86206536,371067447,147145859,899781,8293385113,666505750,340319,14323797749,1290950704,1,4,1,1,6,3,0,0,0,118,61,79055287276
fixed_p32_d100%150,104140591,786621093,449730653,89531429,261124895,131188777,1156084,11909752888,991378808,549842,17336735409,1920324273,1,4,1,1,6,3,103,785,448,118,61,117454289767
fixed_p32_d3000%5000,3432907825,25041959791,14354323531,88839146,332043877,122897291,1445266,25050974368,6697446893,594373,25053031943,12957306390,1,4,1,1,6,3,3432,25041,14352,118,61,790723522754
fixed_p32_d3000%5000,3606214800,26167207407,14483934381,88153019,227806710,116541831,25864856,26174262556,6755462855,374201,26180613832,13069595192,1,4,1,1,6,3,3604,26166,14482,118,61,797561169255
fixed_p32_d3000%5000,3440405245,26500132775,14521110138,88923554,164674289,114726731,23766211,24367679767,6749596246,403111,26511897630,13058346248,1,4,1,1,6,3,3439,26499,14519,118,61,796908194733
fixed_p32_d500%1000,547186055,4821302113,2706862219,85865927,336409840,128723635,1834779,9360533146,1499642518,494027,19112129806,2903621403,1,4,1,1,6,3,546,4820,2705,118,61,177498075315
fixed_p32_d500%1000,533798416,5029182840,2678772131,81795437,268290287,125822070,1933957,8132378562,1419995235,345729,13214429884,2750678981,1,4,1,1,6,3,533,5028,2677,118,61,168111354335
fixed_p32_d500%1000,629264087,5143187675,2709439131,89064309,432107875,123804878,1339794,8456919759,1488400187,349125,12274733354,2880857620,1,4,1,1,6,3,628,5139,2707,118,61,176072599070
fixed_p32_d5000%10000,6060358467,50416122599,26873113765,87153259,176169617,113304903,4205183,50428186839,12652982959,450304,50429170858,24477742256,1,4,1,1,6,3,6059,50415,26871,118,61,1493483269787
fixed_p32_d5000%10000,6392040085,49726960876,27142846959,88011516,248428661,117579453,9518810,49415173278,12750982789,381698,49738108451,24667734937,1,4,1,1,6,3,6391,49726,27141,118,61,1505056723922
fixed_p32_d5000%10000,5111796248,47833098469,26438761116,84518246,464212788,115146627,59448730,47843952462,12343321374,370243,47847571307,23878782561,1,4,1,1,6,3,5111,47832,26437,118,61,1456967284621
fixed_p4_d0%0,334366,2093052,653202,82316667,147058354,102367854,1441268,13460683647,2819104386,494751,21706554623,5454834561,1,4,1,1,6,3,0,0,0,118,61,333107916915
fixed_p4_d0%0,346490,2017720,615270,83593977,345598000,108052434,1357513,12940090995,3251433806,503909,26991607857,6290937613,1,4,1,1,6,3,0,0,0,118,61,384033759747
fixed_p4_d0%0,350848,2163728,616502,80989586,329265269,109055943,1007525,14763293606,3051527417,377045,28719857995,5904593758,1,4,1,1,6,3,0,0,0,118,61,360461578574
