Elapsed - Replicas - Running - Unavailable
1 - 1 - 1 - 0
3 - 1 - 1 - 0
5 - 1 - 1 - 0
7 - 1 - 1 - 0
9 - 1 - 1 - 1
12 - 1 - 1 - 0
14 - 1 - 1 - 0
16 - 1 - 1 - 0
18 - 1 - 1 - 0
20 - 1 - 1 - 0
22 - 1 - 0 - 1
24 - 1 - 0 - 1
26 - 1 - 0 - 1
28 - 1 - 0 - 1
30 - 1 - 0 - 1
32 - 1 - 0 - 1
34 - 1 - 0 - 1
36 - 1 - 0 - 1
38 - 1 - 0 - 2
40 - 1 - 1 - 1
43 - 1 - 1 - 0
44 - 1 - 1 - 0
46 - 1 - 1 - 0
48 - 1 - 1 - 0
50 - 1 - 0 - 1
52 - 1 - 1 - 0
54 - 1 - 1 - 0
56 - 1 - 1 - 0
58 - 1 - 1 - 0
60 - 1 - 1 - 1
63 - 1 - 0 - 1
65 - 1 - 0 - 1
67 - 1 - 0 - 1
69 - 1 - 0 - 1
71 - 1 - 0 - 1
73 - 1 - 0 - 1
75 - 1 - 0 - 1
77 - 1 - 0 - 2
79 - 1 - 1 - 0
81 - 1 - 1 - 0
83 - 1 - 1 - 0
85 - 1 - 1 - 0
87 - 1 - 1 - 0
89 - 1 - 0 - 1
91 - 1 - 1 - 0
93 - 1 - 1 - 0
95 - 1 - 1 - 0
97 - 1 - 1 - 0
99 - 1 - 1 - 0
101 - 1 - 0 - 1
103 - 1 - 0 - 1
105 - 1 - 0 - 1
107 - 1 - 0 - 1
109 - 1 - 0 - 1
112 - 1 - 0 - 1
113 - 1 - 0 - 2
116 - 1 - 1 - 1
118 - 1 - 1 - 0
120 - 1 - 1 - 0
122 - 1 - 1 - 0
124 - 1 - 1 - 0
127 - 1 - 1 - 0
129 - 1 - 1 - 0
130 - 1 - 1 - 0
132 - 1 - 1 - 0
134 - 1 - 1 - 0
136 - 1 - 1 - 1
138 - 1 - 0 - 1
140 - 1 - 0 - 1
143 - 1 - 0 - 1
145 - 1 - 0 - 1
147 - 1 - 0 - 1
149 - 1 - 0 - 2
151 - 1 - 1 - 1
153 - 1 - 1 - 0
155 - 1 - 1 - 0
157 - 1 - 1 - 0
159 - 1 - 1 - 0
161 - 1 - 0 - 0
164 - 1 - 1 - 0
165 - 1 - 1 - 0
167 - 1 - 1 - 0
169 - 1 - 1 - 0
171 - 1 - 1 - 0
173 - 1 - 0 - 1
175 - 1 - 0 - 1
177 - 1 - 0 - 1
180 - 1 - 0 - 1
182 - 1 - 0 - 1
184 - 1 - 0 - 2
186 - 1 - 0 - 2
188 - 1 - 1 - 0
190 - 1 - 1 - 0
192 - 1 - 1 - 0
194 - 1 - 1 - 0
196 - 1 - 1 - 1
199 - 1 - 1 - 0
201 - 1 - 1 - 0
203 - 1 - 1 - 0
205 - 1 - 1 - 0
207 - 1 - 1 - 0
209 - 1 - 0 - 1
211 - 1 - 0 - 1
213 - 1 - 0 - 1
215 - 1 - 0 - 1
217 - 1 - 0 - 1
219 - 1 - 0 - 1
221 - 1 - 0 - 1
223 - 1 - 0 - 2
225 - 1 - 0 - 2
228 - 1 - 1 - 0
230 - 1 - 1 - 0
231 - 1 - 1 - 0
233 - 1 - 1 - 0
235 - 1 - 1 - 0
238 - 1 - 1 - 0
240 - 1 - 1 - 0
242 - 1 - 1 - 0
243 - 1 - 1 - 0
245 - 1 - 1 - 0
247 - 1 - 0 - 1
249 - 1 - 0 - 1
251 - 1 - 0 - 1
253 - 1 - 0 - 1
255 - 1 - 0 - 1
257 - 1 - 0 - 1
259 - 1 - 0 - 2
262 - 1 - 1 - 1
264 - 1 - 1 - 0
266 - 1 - 1 - 0
268 - 1 - 1 - 0
270 - 1 - 1 - 0
273 - 1 - 1 - 0
275 - 1 - 1 - 0
277 - 1 - 1 - 0
279 - 1 - 1 - 0
281 - 1 - 1 - 0
283 - 1 - 0 - 1
285 - 1 - 0 - 1
287 - 1 - 0 - 1
289 - 1 - 0 - 1
291 - 1 - 0 - 1
293 - 1 - 0 - 1
295 - 1 - 0 - 1
297 - 1 - 0 - 2
299 - 1 - 0 - 2
301 - 1 - 1 - 0
303 - 1 - 1 - 0
305 - 1 - 1 - 0
307 - 1 - 1 - 0
309 - 1 - 1 - 0
311 - 1 - 1 - 0
314 - 1 - 1 - 0
316 - 1 - 1 - 0
318 - 1 - 1 - 0
320 - 1 - 1 - 1
322 - 1 - 0 - 1
324 - 1 - 0 - 1
326 - 1 - 0 - 1
328 - 1 - 0 - 1
330 - 1 - 0 - 1
332 - 1 - 0 - 1
334 - 1 - 0 - 2
336 - 1 - 0 - 2
339 - 1 - 1 - 0
341 - 1 - 1 - 0
343 - 1 - 1 - 0
345 - 1 - 1 - 0
347 - 1 - 1 - 1
349 - 1 - 1 - 0
351 - 1 - 1 - 0
353 - 1 - 1 - 0
355 - 1 - 1 - 0
357 - 1 - 1 - 0
359 - 1 - 0 - 1
361 - 1 - 0 - 1
363 - 1 - 0 - 1
365 - 1 - 0 - 1
367 - 1 - 0 - 1
369 - 1 - 0 - 1
371 - 1 - 0 - 1
373 - 1 - 0 - 2
375 - 1 - 1 - 1
378 - 1 - 1 - 0
379 - 1 - 1 - 0
381 - 1 - 1 - 0
383 - 1 - 1 - 0
386 - 1 - 1 - 0
388 - 1 - 1 - 0
390 - 1 - 1 - 0
392 - 1 - 1 - 0
394 - 1 - 1 - 0
396 - 1 - 1 - 1
398 - 1 - 0 - 1
400 - 1 - 0 - 1
402 - 1 - 0 - 1
404 - 1 - 0 - 1
406 - 1 - 0 - 1
408 - 1 - 0 - 1
410 - 1 - 0 - 1
412 - 1 - 0 - 2
414 - 1 - 0 - 1
416 - 1 - 1 - 0
418 - 1 - 1 - 0
420 - 1 - 1 - 0
422 - 1 - 1 - 0
424 - 1 - 1 - 0
426 - 1 - 1 - 0
428 - 1 - 1 - 0
430 - 1 - 1 - 0
432 - 1 - 1 - 0
434 - 1 - 1 - 0
437 - 1 - 0 - 1
439 - 1 - 0 - 1
440 - 1 - 0 - 1
443 - 1 - 0 - 1
445 - 1 - 0 - 1
447 - 1 - 0 - 1
449 - 1 - 0 - 1
451 - 1 - 0 - 2
454 - 1 - 1 - 0
456 - 1 - 1 - 0
457 - 1 - 1 - 0
459 - 1 - 1 - 0
461 - 1 - 1 - 0
463 - 1 - 0 - 1
465 - 1 - 1 - 0
467 - 1 - 1 - 0
469 - 1 - 1 - 0
471 - 1 - 1 - 0
473 - 1 - 1 - 0
476 - 1 - 0 - 1
478 - 1 - 0 - 1
480 - 1 - 0 - 1
482 - 1 - 0 - 1
484 - 1 - 0 - 1
486 - 1 - 0 - 1
488 - 1 - 0 - 1
490 - 1 - 0 - 2
492 - 1 - 0 - 1
495 - 1 - 1 - 0
497 - 1 - 1 - 0
498 - 1 - 1 - 0
500 - 1 - 1 - 0
502 - 1 - 0 - 1
505 - 1 - 1 - 0
507 - 1 - 1 - 0
509 - 1 - 1 - 0
511 - 1 - 1 - 0
513 - 1 - 0 - 1
516 - 1 - 0 - 1
518 - 1 - 0 - 1
520 - 1 - 0 - 1
521 - 1 - 0 - 1
523 - 1 - 0 - 2
526 - 1 - 0 - 2
528 - 1 - 1 - 0
530 - 1 - 1 - 0
532 - 1 - 1 - 0
534 - 1 - 1 - 0
536 - 1 - 1 - 0
539 - 1 - 1 - 0
541 - 1 - 1 - 0
543 - 1 - 1 - 0
545 - 1 - 1 - 0
547 - 1 - 1 - 0
549 - 1 - 0 - 1
551 - 1 - 0 - 1
553 - 1 - 0 - 1
555 - 1 - 0 - 1
557 - 1 - 0 - 1
559 - 1 - 0 - 1
561 - 1 - 0 - 1
563 - 1 - 0 - 2
566 - 1 - 0 - 1
568 - 1 - 1 - 0
570 - 1 - 1 - 0
572 - 1 - 1 - 0
574 - 1 - 1 - 0
576 - 1 - 1 - 0
578 - 1 - 0 - 1
580 - 1 - 0 - 1
582 - 1 - 0 - 1
584 - 1 - 0 - 1
586 - 1 - 0 - 1
588 - 1 - 0 - 1
590 - 1 - 0 - 1
592 - 1 - 0 - 2
594 - 1 - 1 - 1
597 - 1 - 1 - 0
599 - 1 - 1 - 0
601 - 1 - 1 - 0
603 - 1 - 1 - 0
604 - 1 - 0 - 1
607 - 1 - 1 - 0
608 - 1 - 1 - 0
610 - 1 - 1 - 0
612 - 1 - 1 - 0
614 - 1 - 0 - 1
616 - 1 - 0 - 1
618 - 1 - 0 - 1
620 - 1 - 0 - 1
622 - 1 - 0 - 1
624 - 1 - 0 - 1
626 - 1 - 0 - 2
628 - 1 - 1 - 1
631 - 1 - 1 - 0
633 - 1 - 1 - 0
635 - 1 - 1 - 0
637 - 1 - 1 - 0
640 - 1 - 1 - 0
642 - 1 - 1 - 0
644 - 1 - 1 - 0
646 - 1 - 1 - 0
648 - 1 - 1 - 0
650 - 1 - 0 - 1
652 - 1 - 0 - 1
654 - 1 - 0 - 1
656 - 1 - 0 - 1
658 - 1 - 0 - 1
660 - 1 - 0 - 1
662 - 1 - 0 - 1
664 - 1 - 0 - 1
666 - 1 - 0 - 2
668 - 1 - 1 - 1
670 - 1 - 1 - 1
672 - 1 - 1 - 1
