Elapsed - Replicas - Running - Unavailable
1 - 32 - 32 - 0
3 - 32 - 32 - 0
5 - 32 - 32 - 0
7 - 32 - 32 - 0
9 - 32 - 32 - 0
13 - 32 - 27 - 8
16 - 32 - 19 - 14
19 - 32 - 13 - 22
22 - 32 - 5 - 27
24 - 32 - 5 - 26
27 - 32 - 10 - 21
30 - 32 - 17 - 13
34 - 32 - 26 - 5
37 - 32 - 30 - 3
39 - 32 - 24 - 9
41 - 32 - 19 - 14
44 - 32 - 11 - 22
47 - 32 - 5 - 28
49 - 32 - 1 - 32
54 - 32 - 5 - 28
59 - 32 - 11 - 24
63 - 32 - 16 - 22
68 - 32 - 20 - 20
73 - 32 - 19 - 21
79 - 32 - 20 - 22
83 - 32 - 16 - 26
88 - 32 - 14 - 28
93 - 32 - 7 - 35
97 - 32 - 7 - 35
101 - 32 - 6 - 39
105 - 32 - 4 - 39
109 - 32 - 5 - 35
114 - 32 - 4 - 36
Elapsed - Replicas - Running - Unavailable
1 - 32 - 32 - 0
3 - 32 - 32 - 0
5 - 32 - 32 - 0
7 - 32 - 32 - 0
9 - 32 - 32 - 0
13 - 32 - 25 - 8
16 - 32 - 19 - 15
18 - 32 - 13 - 20
20 - 32 - 7 - 25
23 - 32 - 11 - 20
25 - 32 - 15 - 16
28 - 32 - 22 - 9
31 - 32 - 26 - 5
33 - 32 - 31 - 0
36 - 32 - 28 - 5
38 - 32 - 23 - 10
40 - 32 - 17 - 16
42 - 32 - 12 - 21
45 - 32 - 5 - 28
47 - 32 - 1 - 31
51 - 32 - 7 - 28
56 - 32 - 13 - 26
60 - 32 - 18 - 23
63 - 32 - 20 - 24
67 - 32 - 15 - 28
71 - 32 - 11 - 31
74 - 32 - 7 - 36
77 - 32 - 1 - 42
80 - 32 - 1 - 41
83 - 32 - 2 - 42
88 - 32 - 5 - 40
92 - 32 - 6 - 40
95 - 32 - 8 - 40
98 - 32 - 9 - 40
103 - 32 - 11 - 39
107 - 32 - 11 - 38
111 - 32 - 12 - 34
114 - 32 - 13 - 33
117 - 32 - 13 - 29
120 - 32 - 15 - 26
122 - 32 - 17 - 24
124 - 32 - 20 - 19
127 - 32 - 23 - 14
129 - 32 - 27 - 9
131 - 32 - 30 - 5
133 - 32 - 32 - 2
135 - 32 - 32 - 0
137 - 32 - 32 - 0
139 - 32 - 32 - 0
142 - 32 - 32 - 0
144 - 32 - 32 - 0
146 - 32 - 32 - 0
148 - 32 - 32 - 0
150 - 32 - 32 - 0
152 - 32 - 32 - 0
154 - 32 - 32 - 0
156 - 32 - 32 - 0
159 - 32 - 32 - 0
161 - 32 - 32 - 0
163 - 32 - 32 - 0
165 - 32 - 32 - 0
167 - 32 - 32 - 0
169 - 32 - 32 - 0
171 - 32 - 32 - 0
173 - 32 - 32 - 0
175 - 32 - 32 - 0
178 - 32 - 32 - 0
180 - 32 - 32 - 0
182 - 32 - 32 - 0
184 - 32 - 32 - 0
186 - 32 - 32 - 0
188 - 32 - 32 - 0
191 - 32 - 32 - 0
193 - 32 - 32 - 0
195 - 32 - 32 - 0
197 - 32 - 32 - 0
199 - 32 - 32 - 0
201 - 32 - 32 - 0
203 - 32 - 32 - 0
206 - 32 - 32 - 0
208 - 32 - 32 - 0
210 - 32 - 32 - 0
212 - 32 - 32 - 0
214 - 32 - 32 - 0
216 - 32 - 32 - 0
218 - 32 - 32 - 0
220 - 32 - 32 - 0
222 - 32 - 32 - 0
225 - 32 - 32 - 0
227 - 32 - 32 - 0
229 - 32 - 32 - 0
231 - 32 - 32 - 0
233 - 32 - 32 - 0
235 - 32 - 32 - 0
237 - 32 - 32 - 0
239 - 32 - 32 - 0
241 - 32 - 32 - 0
244 - 32 - 32 - 0
246 - 32 - 32 - 0
248 - 32 - 32 - 0
250 - 32 - 32 - 0
252 - 32 - 32 - 0
254 - 32 - 32 - 0
256 - 32 - 32 - 0
258 - 32 - 32 - 0
260 - 32 - 32 - 0
262 - 32 - 32 - 0
265 - 32 - 32 - 0
267 - 32 - 32 - 0
269 - 32 - 32 - 0
271 - 32 - 32 - 0
273 - 32 - 32 - 0
275 - 32 - 32 - 0
277 - 32 - 32 - 0
279 - 32 - 32 - 0
281 - 32 - 32 - 0
283 - 32 - 32 - 0
285 - 32 - 32 - 0
288 - 32 - 32 - 0
290 - 32 - 32 - 0
292 - 32 - 32 - 0
294 - 32 - 32 - 0
296 - 32 - 32 - 0
298 - 32 - 32 - 0
300 - 32 - 32 - 0
302 - 32 - 32 - 0
305 - 32 - 32 - 0
307 - 32 - 32 - 0
309 - 32 - 32 - 0
311 - 32 - 32 - 0
313 - 32 - 32 - 0
315 - 32 - 32 - 0
317 - 32 - 32 - 0
319 - 32 - 32 - 0
321 - 32 - 32 - 0
323 - 32 - 32 - 0
325 - 32 - 32 - 0
328 - 32 - 32 - 0
330 - 32 - 32 - 0
332 - 32 - 32 - 0
334 - 32 - 32 - 0
336 - 32 - 32 - 0
338 - 32 - 32 - 0
340 - 32 - 32 - 0
342 - 32 - 32 - 0
344 - 32 - 32 - 0
346 - 32 - 32 - 0
348 - 32 - 32 - 0
351 - 32 - 32 - 0
353 - 32 - 32 - 0
355 - 32 - 32 - 0
357 - 32 - 32 - 0
359 - 32 - 32 - 0
361 - 32 - 32 - 0
363 - 32 - 32 - 0
365 - 32 - 32 - 0
367 - 32 - 32 - 0
369 - 32 - 32 - 0
371 - 32 - 32 - 0
373 - 32 - 32 - 0
376 - 32 - 32 - 0
378 - 32 - 32 - 0
380 - 32 - 32 - 0
382 - 32 - 32 - 0
384 - 32 - 32 - 0
386 - 32 - 32 - 0
388 - 32 - 32 - 0
390 - 32 - 32 - 0
392 - 32 - 32 - 0
394 - 32 - 32 - 0
397 - 32 - 32 - 0
399 - 32 - 32 - 0
401 - 32 - 32 - 0
403 - 32 - 32 - 0
405 - 32 - 32 - 0
407 - 32 - 32 - 0
409 - 32 - 32 - 0
411 - 32 - 32 - 0
414 - 32 - 32 - 0
416 - 32 - 32 - 0
418 - 32 - 32 - 0
420 - 32 - 32 - 0
422 - 32 - 32 - 0
424 - 32 - 32 - 0
426 - 32 - 32 - 0
428 - 32 - 32 - 0
430 - 32 - 32 - 0
432 - 32 - 32 - 0
434 - 32 - 32 - 0
436 - 32 - 32 - 0
438 - 32 - 32 - 0
441 - 32 - 32 - 0
443 - 32 - 32 - 0
445 - 32 - 32 - 0
447 - 32 - 32 - 0
449 - 32 - 32 - 0
451 - 32 - 32 - 0
453 - 32 - 32 - 0
455 - 32 - 32 - 0
457 - 32 - 32 - 0
460 - 32 - 32 - 0
462 - 32 - 32 - 0
464 - 32 - 32 - 0
466 - 32 - 32 - 0
468 - 32 - 32 - 0
470 - 32 - 32 - 0
472 - 32 - 32 - 0
474 - 32 - 32 - 0
476 - 32 - 32 - 0
478 - 32 - 32 - 0
480 - 32 - 32 - 0
482 - 32 - 32 - 0
484 - 32 - 32 - 0
486 - 32 - 32 - 0
489 - 32 - 32 - 0
491 - 32 - 32 - 0
493 - 32 - 32 - 0
495 - 32 - 32 - 0
497 - 32 - 32 - 0
499 - 32 - 32 - 0
501 - 32 - 32 - 0
503 - 32 - 32 - 0
505 - 32 - 32 - 0
507 - 32 - 32 - 0
509 - 32 - 32 - 0
511 - 32 - 32 - 0
513 - 32 - 32 - 0
515 - 32 - 32 - 0
517 - 32 - 32 - 0
519 - 32 - 32 - 0
521 - 32 - 32 - 0
523 - 32 - 32 - 0
525 - 32 - 32 - 0
528 - 32 - 32 - 0
530 - 32 - 32 - 0
532 - 32 - 32 - 0
534 - 32 - 32 - 0
536 - 32 - 32 - 0
538 - 32 - 32 - 0
540 - 32 - 32 - 0
542 - 32 - 32 - 0
544 - 32 - 32 - 0
546 - 32 - 32 - 0
548 - 32 - 32 - 0
550 - 32 - 32 - 0
553 - 32 - 32 - 0
555 - 32 - 32 - 0
557 - 32 - 32 - 0
559 - 32 - 32 - 0
561 - 32 - 32 - 0
563 - 32 - 32 - 0
565 - 32 - 32 - 0
568 - 32 - 32 - 0
570 - 32 - 32 - 0
572 - 32 - 32 - 0
574 - 32 - 32 - 0
576 - 32 - 32 - 0
578 - 32 - 32 - 0
580 - 32 - 32 - 0
582 - 32 - 32 - 0
584 - 32 - 32 - 0
586 - 32 - 32 - 0
588 - 32 - 32 - 0
590 - 32 - 32 - 0
592 - 32 - 32 - 0
594 - 32 - 32 - 0
597 - 32 - 32 - 0
599 - 32 - 32 - 0
601 - 32 - 32 - 0
603 - 32 - 32 - 0
605 - 32 - 32 - 0
607 - 32 - 32 - 0
609 - 32 - 32 - 0
611 - 32 - 32 - 0
613 - 32 - 32 - 0
615 - 32 - 32 - 0
617 - 32 - 32 - 0
619 - 32 - 32 - 0
622 - 32 - 32 - 0
624 - 32 - 32 - 0
626 - 32 - 32 - 0
628 - 32 - 32 - 0
630 - 32 - 32 - 0
632 - 32 - 32 - 0
634 - 32 - 32 - 0
636 - 32 - 32 - 0
638 - 32 - 32 - 0
640 - 32 - 32 - 0
642 - 32 - 32 - 0
645 - 32 - 32 - 0
647 - 32 - 32 - 0
649 - 32 - 32 - 0
651 - 32 - 32 - 0
653 - 32 - 32 - 0
655 - 32 - 32 - 0
657 - 32 - 32 - 0
659 - 32 - 32 - 0
661 - 32 - 32 - 0
664 - 32 - 32 - 0
666 - 32 - 32 - 0
668 - 32 - 32 - 0
670 - 32 - 32 - 0
672 - 32 - 32 - 0
674 - 32 - 32 - 0
676 - 32 - 32 - 0
678 - 32 - 32 - 0
680 - 32 - 32 - 0
682 - 32 - 32 - 0
684 - 32 - 32 - 0
687 - 32 - 32 - 0
689 - 32 - 32 - 0
691 - 32 - 32 - 0
693 - 32 - 32 - 0
695 - 32 - 32 - 0
697 - 32 - 32 - 0
699 - 32 - 32 - 0
701 - 32 - 32 - 0
703 - 32 - 32 - 0
706 - 32 - 32 - 0
708 - 32 - 32 - 0
710 - 32 - 32 - 0
712 - 32 - 32 - 0
714 - 32 - 32 - 0
716 - 32 - 32 - 0
718 - 32 - 32 - 0
720 - 32 - 32 - 0
722 - 32 - 32 - 0
724 - 32 - 32 - 0
726 - 32 - 32 - 0
729 - 32 - 32 - 0
731 - 32 - 32 - 0
733 - 32 - 32 - 0
735 - 32 - 32 - 0
737 - 32 - 32 - 0
739 - 32 - 32 - 0
741 - 32 - 32 - 0
743 - 32 - 32 - 0
745 - 32 - 32 - 0
747 - 32 - 32 - 0
749 - 32 - 32 - 0
751 - 32 - 32 - 0
754 - 32 - 32 - 0
756 - 32 - 32 - 0
758 - 32 - 32 - 0
760 - 32 - 32 - 0
762 - 32 - 32 - 0
764 - 32 - 32 - 0
766 - 32 - 32 - 0
768 - 32 - 32 - 0
770 - 32 - 32 - 0
772 - 32 - 32 - 0
774 - 32 - 32 - 0
776 - 32 - 32 - 0
778 - 32 - 32 - 0
781 - 32 - 32 - 0
783 - 32 - 32 - 0
785 - 32 - 32 - 0
787 - 32 - 32 - 0
789 - 32 - 32 - 0
791 - 32 - 32 - 0
793 - 32 - 32 - 0
795 - 32 - 32 - 0
797 - 32 - 32 - 0
800 - 32 - 32 - 0
802 - 32 - 32 - 0
804 - 32 - 32 - 0
806 - 32 - 32 - 0
808 - 32 - 32 - 0
810 - 32 - 32 - 0
812 - 32 - 32 - 0
814 - 32 - 32 - 0
816 - 32 - 32 - 0
818 - 32 - 32 - 0
820 - 32 - 32 - 0
822 - 32 - 32 - 0
824 - 32 - 32 - 0
826 - 32 - 32 - 0
829 - 32 - 32 - 0
831 - 32 - 32 - 0
833 - 32 - 32 - 0
835 - 32 - 32 - 0
837 - 32 - 32 - 0
839 - 32 - 32 - 0
841 - 32 - 32 - 0
843 - 32 - 32 - 0
845 - 32 - 32 - 0
847 - 32 - 32 - 0
849 - 32 - 32 - 0
851 - 32 - 32 - 0
854 - 32 - 32 - 0
856 - 32 - 32 - 0
858 - 32 - 32 - 0
860 - 32 - 32 - 0
862 - 32 - 32 - 0
864 - 32 - 32 - 0
866 - 32 - 32 - 0
868 - 32 - 32 - 0
870 - 32 - 32 - 0
872 - 32 - 32 - 0
874 - 32 - 32 - 0
877 - 32 - 32 - 0
879 - 32 - 32 - 0
881 - 32 - 32 - 0
883 - 32 - 32 - 0
885 - 32 - 32 - 0
887 - 32 - 32 - 0
889 - 32 - 32 - 0
891 - 32 - 32 - 0
893 - 32 - 32 - 0
895 - 32 - 32 - 0
897 - 32 - 32 - 0
899 - 32 - 32 - 0
901 - 32 - 32 - 0
903 - 32 - 32 - 0
905 - 32 - 32 - 0
907 - 32 - 32 - 0
909 - 32 - 32 - 0
911 - 32 - 32 - 0
913 - 32 - 32 - 0
920 - 32 - 32 - 0
922 - 32 - 32 - 0
925 - 32 - 32 - 0
927 - 32 - 32 - 0
929 - 32 - 32 - 0
931 - 32 - 32 - 0
933 - 32 - 32 - 0
935 - 32 - 32 - 0
938 - 32 - 32 - 0
940 - 32 - 32 - 0
943 - 32 - 32 - 0
945 - 32 - 32 - 0
947 - 32 - 32 - 0
949 - 32 - 32 - 0
951 - 32 - 32 - 0
953 - 32 - 32 - 0
955 - 32 - 32 - 0
957 - 32 - 32 - 0
960 - 32 - 32 - 0
962 - 32 - 32 - 0
964 - 32 - 32 - 0
966 - 32 - 32 - 0
968 - 32 - 32 - 0
970 - 32 - 32 - 0
972 - 32 - 32 - 0
974 - 32 - 32 - 0
976 - 32 - 32 - 0
978 - 32 - 32 - 0
980 - 32 - 32 - 0
983 - 32 - 32 - 0
985 - 32 - 32 - 0
987 - 32 - 32 - 0
989 - 32 - 32 - 0
991 - 32 - 32 - 0
993 - 32 - 32 - 0
995 - 32 - 32 - 0
997 - 32 - 32 - 0
999 - 32 - 32 - 0
